label,sample_name,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
1,37_A_B_H,0,19,111,0.7189381895264249,0.6659685926611019,0.7907693790046728,0.4373995239109306,0.6298798836705853,0.6373525232562022,0.0060483101576641,0.0
1,35_A_B_H,0,0,97,0.7260323060808205,0.6720898761114987,0.8054468272782397,0.4523765582516921,0.4244834011046867,0.8104006081043353,0.0046605359174778,0.0
1,25_A_B_H,0,0,109,0.7315409900407203,0.6781702389406609,0.8085904920767304,0.4633001626611474,0.3812043801007989,0.8569166089679818,0.0048279692259248,0.0
0,6_A_B_OC,4,0,102,0.7270105903323897,0.6779874045812377,0.7978924189996853,0.451564948950216,0.5377780978879948,0.7417316306363365,0.0052996741674056,0.0392156862745098
0,11_A_B_OC,4,0,108,0.7255644682115273,0.6732601994587128,0.7996632996632995,0.4489893695056938,0.5991228282393548,0.6865351680943244,0.0052825771629148,0.037037037037037
0,21_A_B_OC,95,0,98,0.7038360798865001,0.6446295855435057,0.7751555167521554,0.4097239212578062,0.5348791877504022,0.7475690937447435,0.0047526337790803,0.9693877551020408
1,8_A_B_H,0,0,84,0.7339890501655207,0.6784745981993575,0.8211420932009167,0.4697483871680511,0.3886935551214339,0.85352394024252,0.0074498848804154,0.0
0,29_A_B_OC,3,0,99,0.7189002322692164,0.6648394731361122,0.7833684437962514,0.4372671180813183,0.5918824474065217,0.696630994961271,0.0050583645900722,0.0303030303030303
1,41_A_B_H,0,0,103,0.7159804786875034,0.6611122190653865,0.7978038523441153,0.4329695667452631,0.2145019655790001,0.9365957919260746,0.0051305851343451,0.0
0,3_nd_A_B_OC,52,0,119,0.7117467307778729,0.6538462374752969,0.7945445557902306,0.424769010443927,0.6663856591813184,0.5902862165460023,0.0065279704531185,0.4369747899159664
1,18_A_B_H,0,107,107,0.7034084661902146,0.6493388300405896,0.7782997651057022,0.4064620178194987,0.3736682581076809,0.862264579653473,0.0057020451179372,0.0
1,5_nd_A_B_H,0,35,119,0.7161955691367458,0.6625874026637647,0.7957578753426507,0.4322749943066761,0.665444259414323,0.592331945122796,0.0054698914576501,0.0
0,7_A_B_OC,3,0,102,0.7261455384292755,0.6712559272080096,0.7982069833280905,0.4534562538216412,0.5670883626373566,0.7282524263715227,0.0056926568163357,0.0294117647058823
0,13_A_B_OC,0,0,97,0.7306356469485641,0.6799304403157063,0.8066872484701471,0.4610029567894887,0.399094459419937,0.8557960819248568,0.0047365282986531,0.0
0,10_nd_A_B_OC,11,0,86,0.7153339136923264,0.6640133118850859,0.7928740206441983,0.4329558185069052,0.6382396467080279,0.6407345547236482,0.0073329987525789,0.127906976744186
1,3_A_B_H,0,1,109,0.7227836922925968,0.6675343342909221,0.803807094147083,0.4458180670932329,0.5969311100964103,0.6870010787844859,0.005638973452405,0.0
1,2_A_B_H,0,86,87,0.6989058946462596,0.6426252567389656,0.7655664146536353,0.3975655119371134,0.3619213419776798,0.866407665515546,0.0054627048944079,0.0
1,18_nd_A_B_H,0,46,109,0.7074768189177256,0.6523499688826986,0.7924005298533091,0.4175379367450357,0.6156926036494063,0.6483878543548467,0.006616855255138,0.0
1,12_nh_A_B_H,0,6,88,0.72037554691298,0.6616488592754207,0.798067574137093,0.4420239155247064,0.6048224354390125,0.682025057654892,0.0066460706890321,0.0
1,32_A_B_H,0,0,109,0.7362507972329883,0.682789678006576,0.8106510327233477,0.4746236306751684,0.1733593646961715,0.9491473619135063,0.0056137715277684,0.0
0,8_nd_A_B_OC,0,0,86,0.7326514115159806,0.6822933486606648,0.8067715458276331,0.4675610352478436,0.4325470046089393,0.8193576965986371,0.0056936974742413,0.0
1,30_A_B_H,0,0,100,0.7172459893048128,0.6582838147472245,0.7987433155080208,0.4360134421875626,0.1610792938726897,0.9550067047500684,0.0048067646351126,0.0
0,1_nd_A_B_OC,0,0,93,0.7321603128054742,0.6823905756602058,0.8125179690644583,0.4634708366264143,0.420468060499657,0.8390699239213211,0.0050836367577609,0.0
1,28_A_B_H,0,4,101,0.7346587599936467,0.6800093570133697,0.8048922539312751,0.4681564063430318,0.5331081910085853,0.7468346176202231,0.0060295044918143,0.0
1,21_nh_A_B_H,0,0,95,0.7266535322262876,0.670562939123941,0.8048409794539825,0.4518493628294241,0.3178084344604528,0.8957078560625695,0.0062758401562324,0.0
1,13_nd_A_B_H,0,56,85,0.6994652406417112,0.6469885935669352,0.7782321484743627,0.3996249665311929,0.6573210123058627,0.602234165317517,0.0049341661798409,0.0
0,4_A_B_OC,0,0,86,0.7353562989677899,0.6838079681389114,0.8123056833727147,0.469179062822729,0.3716672537229281,0.8662569432950243,0.0064310703335872,0.0
1,19_nd_A_B_H,0,16,89,0.7162170281800156,0.6532264857694254,0.7970918704560476,0.4359358906759881,0.6474226426818338,0.6155082503146058,0.005452912679028,0.0
0,12_nd_A_B_OC,14,0,108,0.7082838185779365,0.6526033817006037,0.7830510992275691,0.416943753310445,0.6310083733182634,0.6471457935969085,0.0057311027971657,0.1296296296296296
1,8_nd_A_B_H,0,5,98,0.7258812615955471,0.6703890944166242,0.7960820691913124,0.4539065462093809,0.6345487147222927,0.644509007939932,0.0054499271655095,0.0
1,1_A_B_H,0,88,88,0.7035427807486632,0.646380668234801,0.7765556635877489,0.4075336116059213,0.4626485125559074,0.8111273526731114,0.0043995967035499,0.0
0,45_A_B_OC,23,0,108,0.7128391760744704,0.6573731342533153,0.791468607645078,0.4266381115079822,0.6552008339665791,0.6125968436454885,0.006596889663664,0.2129629629629629
1,14_nd_A_B_H,0,74,80,0.7016711229946523,0.6459986098029574,0.7677473262032084,0.4026614366589304,0.5870494673072653,0.7071919553613351,0.0053444759933843,0.0
1,24_A_B_H,0,0,106,0.7218494601957424,0.6651449321695753,0.8009787105236607,0.445173083111833,0.0782885267334395,0.9809217809398943,0.0048146668065415,0.0
1,23_A_B_H,0,0,96,0.7212566844919787,0.6681201248036678,0.798351158645276,0.4423065993892163,0.1055508895442581,0.973876277390677,0.0054910288962705,0.0
1,38_A_B_H,0,1,84,0.7260313216195564,0.6689687916255831,0.7978736949325183,0.4550617690824597,0.4261433638543246,0.8200805390648068,0.0062250396700022,0.0
1,10_nh_A_B_H,0,16,125,0.7131336898395723,0.6537595040690157,0.7920855614973262,0.427560388772514,0.6193318916711252,0.6582924376282279,0.0065429859995811,0.0
0,7_nd_A_B_OC,0,0,105,0.7348866819455057,0.685167341212911,0.816628469569646,0.4663166299350285,0.3870139722543962,0.8583658640264024,0.0054292292063603,0.0
0,23_A_B_OC,95,0,95,0.6964255558682803,0.6318051882763909,0.7623135378553334,0.3956176810114383,0.393698799717917,0.850073356822366,0.0045281459819298,1.0
0,9_nd_A_B_OC,0,0,83,0.7373236260550222,0.687802571919209,0.8095161394240064,0.4718242810732083,0.4092235071768264,0.8463518056302218,0.0051844857642981,0.0
0,2_nd_A_B_OC,5,0,110,0.73852698104035,0.6885487883384281,0.8142683519688869,0.4767314242735811,0.4791915184360286,0.7940483380891629,0.0047608478721448,0.0454545454545454
1,19_A_B_H,0,0,108,0.7143988908694792,0.6574643035112703,0.7940433749257276,0.4317644300123665,0.1045825391662756,0.974761781808298,0.0056346499888082,0.0
1,43_A_B_H,0,0,95,0.7358288770053476,0.683547828639257,0.8176189135941456,0.4713373031715748,0.1614338608110317,0.9561124021463642,0.0054013798239534,0.0
