,sample_name,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
108,7_A_B_OC,5,0,96,0.6962176916221036,0.6511274797839793,0.7500000000000003,0.3901948075646644,0.6173855805405677,0.6611745404762409,0.005483860109430257,0.052083333333333336
109,33_A_B_H,0,0,109,0.6846882205759701,0.6353067670973823,0.7504538095471716,0.367365109804186,0.0185660438845351,0.9962982409125578,0.00801248121643434,0.0
110,8_A_B_H,0,0,107,0.694812334449498,0.6409747990213309,0.7571093008146336,0.3884378804623558,0.4714080686124574,0.8061491251653188,0.007412420893294013,0.0
111,36_A_B_H,0,0,101,0.6903690369036906,0.6411752723712966,0.7592259225922592,0.3780958472401721,0.040070020028207906,0.9911990510562118,0.006685495696471189,0.0
112,6_A_B_OC,0,0,90,0.6860071301247773,0.6406544585562226,0.7464052287581697,0.36996065423871877,0.49786454883407244,0.7881271699233224,0.005724018480573968,0.0
113,2_A_B_H,0,39,110,0.6798736023334957,0.631209456221041,0.7311375789985416,0.35780968916542205,0.6339032466586335,0.6341049789922574,0.004983300948718287,0.0
114,18_A_B_OC,19,0,87,0.6706312619091526,0.6216688131450705,0.7199889360132767,0.3400443209447243,0.6575651860777996,0.6065817608474928,0.008895508236802461,0.21839080459770116
115,7_A_B_H,0,97,99,0.6738508075406473,0.6306203867614513,0.7279749365310865,0.3458446077417547,0.5925584437616112,0.6988285291983863,0.006268231132702929,0.0
116,11_A_B_H,0,4,100,0.6805080213903745,0.6274958725013288,0.7482887700534756,0.35983394811937386,0.508624336440884,0.7475950222570333,0.006404300807843946,0.0
117,6_nd_A_B_OC,23,0,104,0.673256890168655,0.623338373706175,0.7338800904977376,0.3439472861707437,0.6530420976410729,0.6097516291607641,0.006676423779465739,0.22115384615384615
118,4_A_B_H,0,97,97,0.6757263355201499,0.627088567983397,0.7400628480070567,0.3501739926801296,0.568121726791517,0.7222160868878729,0.005973705023860606,0.0
119,30_A_B_H,0,0,96,0.6888926024955438,0.6387628521973706,0.7622549019607843,0.3768654058056819,0.005560178302419112,0.9990667708922819,0.007148584109333933,0.0
120,16_A_B_H,0,0,105,0.676088617265088,0.6226376812040565,0.7319837025719378,0.35087504699894156,0.29044475802596154,0.8983540091443213,0.004774067549311337,0.0
121,32_A_B_OC,0,0,107,0.7005847368684095,0.6564903435314848,0.7556849417762006,0.4002767088709593,0.5343646404130582,0.7595835031636533,0.0057961015212410795,0.0
122,20_nd_A_B_H,0,94,98,0.6940412528647822,0.6507759305056111,0.7469715158790787,0.3840208926165287,0.6270754195845613,0.6605524165490069,0.0061214748969116405,0.0
123,29_A_B_H,0,0,95,0.704981705600901,0.6536944872922394,0.7654095130875317,0.40791412620691453,0.019698681490416082,0.9962117120928492,0.0057498663750075,0.0
124,19_nd_A_B_H,0,94,112,0.6663722307104664,0.6166949525097062,0.7299226508785336,0.33075606379044176,0.6526863918767501,0.6205456891985659,0.00614839421755905,0.0
125,20_A_B_H,0,0,106,0.695288063767531,0.6454271562078532,0.754187266673393,0.38757198373339197,0.005025116098230838,0.9991746269827083,0.006057736107532235,0.0
126,1_A_B_OC,1,0,100,0.70572192513369,0.6613808492079855,0.760053475935829,0.40938724499159873,0.5934440137808239,0.7030674354869703,0.005423970032909379,0.01
127,2_A_B_OC,42,0,110,0.6708313077297035,0.6170344924808777,0.7300680602819639,0.3397134745227854,0.6456918503316751,0.6161101474725317,0.007513384129028759,0.38181818181818183
128,15_nd_A_B_H,0,101,103,0.6593634806084834,0.6092279391186606,0.7159285603032031,0.31851617856019404,0.5871047027589974,0.7111470392995285,0.006246616724088007,0.0
129,13_nd_A_B_H,0,49,108,0.6817934244404837,0.6319544762389858,0.7453703703703702,0.3616228190925885,0.6546372502379342,0.6008215114359875,0.007267651397829583,0.0
130,28_A_B_OC,0,0,108,0.6775599128540307,0.6300532508274465,0.7458655179243414,0.3545261671627189,0.43736180702050803,0.8355586253300596,0.005483767202758363,0.0
131,25_A_B_H,0,0,105,0.6829895594601476,0.6293481679659682,0.7502928444104912,0.3635488172365834,0.15233695709770234,0.9555596372772865,0.005715353902676961,0.0
132,3_nd_A_B_OC,104,0,105,0.6565317035905273,0.6003515404524213,0.7340208810797045,0.311911630268189,0.4717231516574513,0.7904345847860299,0.005834429804231628,0.9904761904761905
133,29_A_B_OC,1,0,113,0.6869528181344944,0.6391131675331713,0.7452084615020582,0.37219274479540737,0.5882765305995636,0.7152202006606823,0.005319142566186219,0.008849557522123894
134,28_A_B_H,0,0,111,0.6877920701450115,0.6372908473457304,0.7476273064508357,0.3740697918967618,0.15061781965214777,0.9561236342534432,0.006012982271954504,0.0
135,42_A_B_H,0,0,72,0.6832664884135472,0.63143715455268,0.7431298276886515,0.36383324409686435,0.013731033197646774,0.997465501841603,0.006738752814867415,0.0
136,26_A_B_OC,0,0,111,0.7001011706894061,0.6531232781583939,0.7606831430360842,0.39677668189295834,0.5157365448080052,0.7795115675286478,0.006208036278956237,0.0
137,9_nd_A_B_OC,1,0,98,0.6992251446032961,0.6513312480123707,0.7568209101822551,0.39687806161293754,0.6094477459135599,0.688668528698723,0.004728966848982176,0.01020408163265306
138,19_nd_A_B_OC,83,0,89,0.6492819804121852,0.5904390865361654,0.7249894850687979,0.29821085763395316,0.604640992540942,0.6839591736830329,0.0066939542482848755,0.9325842696629213
